GEOGRAPHICAL	TIME	MEASURE	OBS_VALUE
Canarias	2015 Julio	Variación interperiódica	-4317
Canarias	2015 Junio	Tasa variación anual	-8.09
Canarias	2015 Junio	Tasa variación interperiódica	-1.48
Canarias	2015 Junio	Dato	248223
Canarias	2015 Junio	Variación anual	-21836
Canarias	2015 Junio	Variación interperiódica	-3718
Canarias	2015 Mayo	Tasa variación anual	-8.19
Canarias	2015 Mayo	Tasa variación interperiódica	-0.82
Canarias	2015 Mayo	Dato	251941
Canarias	2015 Mayo	Variación anual	-22471
Canarias	2015 Mayo	Variación interperiódica	-2075
Canarias	2015 Abril	Tasa variación anual	-8.23
Canarias	2015 Abril	Tasa variación interperiódica	-1.10
Canarias	2015 Abril	Dato	254016
Canarias	2015 Abril	Variación anual	-22770
Canarias	2015 Abril	Variación interperiódica	-2835
Canarias	2015 Marzo	Tasa variación anual	-7.44
Canarias	2015 Marzo	Tasa variación interperiódica	-0.71
Canarias	2015 Marzo	Dato	256851
Canarias	2015 Marzo	Variación anual	-20647
Canarias	2015 Marzo	Variación interperiódica	-1836
Canarias	2015 Febrero	Tasa variación anual	-6.12
Canarias	2015 Febrero	Tasa variación interperiódica	-0.41
Canarias	2015 Febrero	Dato	258687
Canarias	2015 Febrero	Variación anual	-16864
Canarias	2015 Febrero	Variación interperiódica	-1056
Canarias	2015 Enero	Tasa variación anual	-5.90
Canarias	2015 Enero	Tasa variación interperiódica	-0.36
Canarias	2015 Enero	Dato	259743
Canarias	2015 Enero	Variación anual	-16291
Canarias	2015 Enero	Variación interperiódica	-939
Canarias	2014 Diciembre	Tasa variación anual	-4.88
Canarias	2014 Diciembre	Tasa variación interperiódica	-1.77
Canarias	2014 Diciembre	Dato	260682
Canarias	2014 Diciembre	Variación anual	-13371
Canarias	2014 Diciembre	Variación interperiódica	-4703
Canarias	2014 Noviembre	Tasa variación anual	-6.35
Canarias	2014 Noviembre	Tasa variación interperiódica	-0.15
Canarias	2014 Noviembre	Dato	265385
Canarias	2014 Noviembre	Variación anual	-17993
Canarias	2014 Noviembre	Variación interperiódica	-406
Canarias	2014 Octubre	Tasa variación anual	-6.51
Canarias	2014 Octubre	Tasa variación interperiódica	-0.32
Canarias	2014 Octubre	Dato	265791
Canarias	2014 Octubre	Variación anual	-18518
Canarias	2014 Octubre	Variación interperiódica	-846
Canarias	2014 Septiembre	Tasa variación anual	-6.14
Canarias	2014 Septiembre	Tasa variación interperiódica	-0.01
Canarias	2014 Septiembre	Dato	266637
Canarias	2014 Septiembre	Variación anual	-17435
Canarias	2014 Septiembre	Variación interperiódica	-31
Canarias	2014 Agosto	Tasa variación anual	-6.79
Canarias	2014 Agosto	Tasa variación interperiódica	-0.65
Canarias	2014 Agosto	Dato	266668
Canarias	2014 Agosto	Variación anual	-19413
Canarias	2014 Agosto	Variación interperiódica	-1754
Canarias	2014 Julio	Tasa variación anual	-7.56
Canarias	2014 Julio	Tasa variación interperiódica	-0.61
Canarias	2014 Julio	Dato	268422
Canarias	2014 Julio	Variación anual	-21953
Canarias	2014 Julio	Variación interperiódica	-1637
Canarias	2014 Junio	Tasa variación anual	-7.85
Canarias	2014 Junio	Tasa variación interperiódica	-1.59
Canarias	2014 Junio	Dato	270059
Canarias	2014 Junio	Variación anual	-22995
Canarias	2014 Junio	Variación interperiódica	-4353
Canarias	2014 Mayo	Tasa variación anual	-7.41
Canarias	2014 Mayo	Tasa variación interperiódica	-0.86
Canarias	2014 Mayo	Dato	274412
Canarias	2014 Mayo	Variación anual	-21950
Canarias	2014 Mayo	Variación interperiódica	-2374
Canarias	2014 Abril	Tasa variación anual	-6.44
Canarias	2014 Abril	Tasa variación interperiódica	-0.26
Canarias	2014 Abril	Dato	276786
Canarias	2014 Abril	Variación anual	-19038
Canarias	2014 Abril	Variación interperiódica	-712
Canarias	2014 Marzo	Tasa variación anual	-4.86
Canarias	2014 Marzo	Tasa variación interperiódica	0.71
Canarias	2014 Marzo	Dato	277498
Canarias	2014 Marzo	Variación anual	-14174
Canarias	2014 Marzo	Variación interperiódica	1947
Canarias	2014 Febrero	Tasa variación anual	-5.46
Canarias	2014 Febrero	Tasa variación interperiódica	-0.17
Canarias	2014 Febrero	Dato	275551
Canarias	2014 Febrero	Variación anual	-15923
Canarias	2014 Febrero	Variación interperiódica	-483
Canarias	2014 Enero	Tasa variación anual	-4.66
Canarias	2014 Enero	Tasa variación interperiódica	0.72
Canarias	2014 Enero	Dato	276034
Canarias	2014 Enero	Variación anual	-13483
Canarias	2014 Enero	Variación interperiódica	1981
Canarias	2013 Diciembre	Tasa variación anual	-3.81
Canarias	2013 Diciembre	Tasa variación interperiódica	-3.29
Canarias	2013 Diciembre	Dato	274053
Canarias	2013 Diciembre	Variación anual	-10862
Canarias	2013 Diciembre	Variación interperiódica	-9325
Canarias	2013 Noviembre	Tasa variación anual	-1.96
Canarias	2013 Noviembre	Tasa variación interperiódica	-0.33
Canarias	2013 Noviembre	Dato	283378
Canarias	2013 Noviembre	Variación anual	-5654
Canarias	2013 Noviembre	Variación interperiódica	-931
Canarias	2013 Octubre	Tasa variación anual	-1.22
Canarias	2013 Octubre	Tasa variación interperiódica	0.08
Canarias	2013 Octubre	Dato	284309
Canarias	2013 Octubre	Variación anual	-3511
Canarias	2013 Octubre	Variación interperiódica	237
Canarias	2013 Septiembre	Tasa variación anual	-1.64
Canarias	2013 Septiembre	Tasa variación interperiódica	-0.70
Canarias	2013 Septiembre	Dato	284072
Canarias	2013 Septiembre	Variación anual	-4741
Canarias	2013 Septiembre	Variación interperiódica	-2009
Canarias	2013 Agosto	Tasa variación anual	-0.90
Canarias	2013 Agosto	Tasa variación interperiódica	-1.48
Canarias	2013 Agosto	Dato	286081
Canarias	2013 Agosto	Variación anual	-2585
Canarias	2013 Agosto	Variación interperiódica	-4294
Canarias	2013 Julio	Tasa variación anual	0.20
Canarias	2013 Julio	Tasa variación interperiódica	-0.91
Canarias	2013 Julio	Dato	290375
Canarias	2013 Julio	Variación anual	590
Canarias	2013 Julio	Variación interperiódica	-2679
Canarias	2013 Junio	Tasa variación anual	0.82
Canarias	2013 Junio	Tasa variación interperiódica	-1.12
Canarias	2013 Junio	Dato	293054
Canarias	2013 Junio	Variación anual	2390
Canarias	2013 Junio	Variación interperiódica	-3308
Canarias	2013 Mayo	Tasa variación anual	1.07
Canarias	2013 Mayo	Tasa variación interperiódica	0.18
Canarias	2013 Mayo	Dato	296362
Canarias	2013 Mayo	Variación anual	3134
Canarias	2013 Mayo	Variación interperiódica	538
Canarias	2013 Abril	Tasa variación anual	2.45
Canarias	2013 Abril	Tasa variación interperiódica	1.42
Canarias	2013 Abril	Dato	295824
Canarias	2013 Abril	Variación anual	7072
Canarias	2013 Abril	Variación interperiódica	4152
Canarias	2013 Marzo	Tasa variación anual	2.81
Canarias	2013 Marzo	Tasa variación interperiódica	0.07
Canarias	2013 Marzo	Dato	291672
Canarias	2013 Marzo	Variación anual	7973
Canarias	2013 Marzo	Variación interperiódica	198
Canarias	2013 Febrero	Tasa variación anual	4.51
Canarias	2013 Febrero	Tasa variación interperiódica	0.68
Canarias	2013 Febrero	Dato	291474
Canarias	2013 Febrero	Variación anual	12576
Canarias	2013 Febrero	Variación interperiódica	1957
Canarias	2013 Enero	Tasa variación anual	5.67
Canarias	2013 Enero	Tasa variación interperiódica	1.62
Canarias	2013 Enero	Dato	289517
Canarias	2013 Enero	Variación anual	15534
Canarias	2013 Enero	Variación interperiódica	4602
Canarias	2012 Diciembre	Tasa variación anual	7.28
Canarias	2012 Diciembre	Tasa variación interperiódica	-1.42
Canarias	2012 Diciembre	Dato	284915
Canarias	2012 Diciembre	Variación anual	19346
Canarias	2012 Diciembre	Variación interperiódica	-4117
Canarias	2012 Noviembre	Tasa variación anual	8.57
Canarias	2012 Noviembre	Tasa variación interperiódica	0.42
Canarias	2012 Noviembre	Dato	289032
Canarias	2012 Noviembre	Variación anual	22819
Canarias	2012 Noviembre	Variación interperiódica	1212
Canarias	2012 Octubre	Tasa variación anual	11.44
Canarias	2012 Octubre	Tasa variación interperiódica	-0.34
Canarias	2012 Octubre	Dato	287820
Canarias	2012 Octubre	Variación anual	29556
Canarias	2012 Octubre	Variación interperiódica	-993
Canarias	2012 Septiembre	Tasa variación anual	14.61
Canarias	2012 Septiembre	Tasa variación interperiódica	0.05
Canarias	2012 Septiembre	Dato	288813
Canarias	2012 Septiembre	Variación anual	36823
Canarias	2012 Septiembre	Variación interperiódica	147
Canarias	2012 Agosto	Tasa variación anual	14.33
Canarias	2012 Agosto	Tasa variación interperiódica	-0.39
Canarias	2012 Agosto	Dato	288666
Canarias	2012 Agosto	Variación anual	36188
Canarias	2012 Agosto	Variación interperiódica	-1119
Canarias	2012 Julio	Tasa variación anual	14.26
Canarias	2012 Julio	Tasa variación interperiódica	-0.30
Canarias	2012 Julio	Dato	289785
Canarias	2012 Julio	Variación anual	36156
Canarias	2012 Julio	Variación interperiódica	-879
Canarias	2012 Junio	Tasa variación anual	15.36
Canarias	2012 Junio	Tasa variación interperiódica	-0.87
Canarias	2012 Junio	Dato	290664
Canarias	2012 Junio	Variación anual	38701
Canarias	2012 Junio	Variación interperiódica	-2564
Canarias	2012 Mayo	Tasa variación anual	15.29
Canarias	2012 Mayo	Tasa variación interperiódica	1.55
Canarias	2012 Mayo	Dato	293228
Canarias	2012 Mayo	Variación anual	38887
Canarias	2012 Mayo	Variación interperiódica	4476
Canarias	2012 Abril	Tasa variación anual	12.45
Canarias	2012 Abril	Tasa variación interperiódica	1.78
Canarias	2012 Abril	Dato	288752
Canarias	2012 Abril	Variación anual	31979
Canarias	2012 Abril	Variación interperiódica	5053
Canarias	2012 Marzo	Tasa variación anual	8.61
Canarias	2012 Marzo	Tasa variación interperiódica	1.72
Canarias	2012 Marzo	Dato	283699
Canarias	2012 Marzo	Variación anual	22497
Canarias	2012 Marzo	Variación interperiódica	4801
Canarias	2012 Febrero	Tasa variación anual	6.79
Canarias	2012 Febrero	Tasa variación interperiódica	1.79
Canarias	2012 Febrero	Dato	278898
Canarias	2012 Febrero	Variación anual	17722
Canarias	2012 Febrero	Variación interperiódica	4915
Canarias	2012 Enero	Tasa variación anual	6.07
Canarias	2012 Enero	Tasa variación interperiódica	3.17
Canarias	2012 Enero	Dato	273983
Canarias	2012 Enero	Variación anual	15672
Canarias	2012 Enero	Variación interperiódica	8414
Canarias	2011 Diciembre	Tasa variación anual	4.30
Canarias	2011 Diciembre	Tasa variación interperiódica	-0.24
Canarias	2011 Diciembre	Dato	265569
Canarias	2011 Diciembre	Variación anual	10949
Canarias	2011 Diciembre	Variación interperiódica	-644
Canarias	2011 Noviembre	Tasa variación anual	3.71
Canarias	2011 Noviembre	Tasa variación interperiódica	3.08
Canarias	2011 Noviembre	Dato	266213
Canarias	2011 Noviembre	Variación anual	9520
Canarias	2011 Noviembre	Variación interperiódica	7949
Canarias	2011 Octubre	Tasa variación anual	-0.77
Canarias	2011 Octubre	Tasa variación interperiódica	2.49
Canarias	2011 Octubre	Dato	258264
Canarias	2011 Octubre	Variación anual	-2009
Canarias	2011 Octubre	Variación interperiódica	6274
Canarias	2011 Septiembre	Tasa variación anual	-2.99
Canarias	2011 Septiembre	Tasa variación interperiódica	-0.19
Canarias	2011 Septiembre	Dato	251990
Canarias	2011 Septiembre	Variación anual	-7761
Canarias	2011 Septiembre	Variación interperiódica	-488
Canarias	2011 Agosto	Tasa variación anual	-3.19
Canarias	2011 Agosto	Tasa variación interperiódica	-0.45
Canarias	2011 Agosto	Dato	252478
Canarias	2011 Agosto	Variación anual	-8316
Canarias	2011 Agosto	Variación interperiódica	-1151
Canarias	2011 Julio	Tasa variación anual	-3.44
Canarias	2011 Julio	Tasa variación interperiódica	0.66
Canarias	2011 Julio	Dato	253629
Canarias	2011 Julio	Variación anual	-9032
Canarias	2011 Julio	Variación interperiódica	1666
Canarias	2011 Junio	Tasa variación anual	-5.27
Canarias	2011 Junio	Tasa variación interperiódica	-0.93
Canarias	2011 Junio	Dato	251963
Canarias	2011 Junio	Variación anual	-14010
Canarias	2011 Junio	Variación interperiódica	-2378
Canarias	2011 Mayo	Tasa variación anual	-4.35
Canarias	2011 Mayo	Tasa variación interperiódica	-0.95
Canarias	2011 Mayo	Dato	254341
Canarias	2011 Mayo	Variación anual	-11575
Canarias	2011 Mayo	Variación interperiódica	-2432
Canarias	2011 Abril	Tasa variación anual	-3.48
Canarias	2011 Abril	Tasa variación interperiódica	-1.70
Canarias	2011 Abril	Dato	256773
Canarias	2011 Abril	Variación anual	-9269
Canarias	2011 Abril	Variación interperiódica	-4429
Canarias	2011 Marzo	Tasa variación anual	-0.13
Canarias	2011 Marzo	Tasa variación interperiódica	0.01
Canarias	2011 Marzo	Dato	261202
Canarias	2011 Marzo	Variación anual	-332
Canarias	2011 Marzo	Variación interperiódica	26
Canarias	2011 Febrero	Tasa variación anual	1.25
Canarias	2011 Febrero	Tasa variación interperiódica	1.11
Canarias	2011 Febrero	Dato	261176
Canarias	2011 Febrero	Variación anual	3237
Canarias	2011 Febrero	Variación interperiódica	2865
Canarias	2011 Enero	Tasa variación anual	1.73
Canarias	2011 Enero	Tasa variación interperiódica	1.45
Canarias	2011 Enero	Dato	258311
Canarias	2011 Enero	Variación anual	4381
Canarias	2011 Enero	Variación interperiódica	3691
Canarias	2010 Diciembre	Tasa variación anual	2.35
Canarias	2010 Diciembre	Tasa variación interperiódica	-0.81
Canarias	2010 Diciembre	Dato	254620
Canarias	2010 Diciembre	Variación anual	5837
Canarias	2010 Diciembre	Variación interperiódica	-2073
Canarias	2010 Noviembre	Tasa variación anual	3.18
Canarias	2010 Noviembre	Tasa variación interperiódica	-1.38
Canarias	2010 Noviembre	Dato	256693
Canarias	2010 Noviembre	Variación anual	7907
Canarias	2010 Noviembre	Variación interperiódica	-3580
Canarias	2010 Octubre	Tasa variación anual	4.90
Canarias	2010 Octubre	Tasa variación interperiódica	0.20
Canarias	2010 Octubre	Dato	260273
Canarias	2010 Octubre	Variación anual	12165
Canarias	2010 Octubre	Variación interperiódica	522
Canarias	2010 Septiembre	Tasa variación anual	4.38
Canarias	2010 Septiembre	Tasa variación interperiódica	-0.40
Canarias	2010 Septiembre	Dato	259751
Canarias	2010 Septiembre	Variación anual	10893
Canarias	2010 Septiembre	Variación interperiódica	-1043
Canarias	2010 Agosto	Tasa variación anual	6.03
Canarias	2010 Agosto	Tasa variación interperiódica	-0.71
Canarias	2010 Agosto	Dato	260794
Canarias	2010 Agosto	Variación anual	14828
Canarias	2010 Agosto	Variación interperiódica	-1867
Canarias	2010 Julio	Tasa variación anual	6.66
Canarias	2010 Julio	Tasa variación interperiódica	-1.25
Canarias	2010 Julio	Dato	262661
Canarias	2010 Julio	Variación anual	16397
Canarias	2010 Julio	Variación interperiódica	-3312
Canarias	2010 Junio	Tasa variación anual	7.11
Canarias	2010 Junio	Tasa variación interperiódica	0.02
Canarias	2010 Junio	Dato	265973
Canarias	2010 Junio	Variación anual	17648
Canarias	2010 Junio	Variación interperiódica	57
Canarias	2010 Mayo	Tasa variación anual	6.51
Canarias	2010 Mayo	Tasa variación interperiódica	-0.05
Canarias	2010 Mayo	Dato	265916
Canarias	2010 Mayo	Variación anual	16255
Canarias	2010 Mayo	Variación interperiódica	-126
Canarias	2010 Abril	Tasa variación anual	7.93
Canarias	2010 Abril	Tasa variación interperiódica	1.72
Canarias	2010 Abril	Dato	266042
Canarias	2010 Abril	Variación anual	19542
Canarias	2010 Abril	Variación interperiódica	4508
Canarias	2010 Marzo	Tasa variación anual	9.73
Canarias	2010 Marzo	Tasa variación interperiódica	1.39
Canarias	2010 Marzo	Dato	261534
Canarias	2010 Marzo	Variación anual	23190
Canarias	2010 Marzo	Variación interperiódica	3595
Canarias	2010 Febrero	Tasa variación anual	13.28
Canarias	2010 Febrero	Tasa variación interperiódica	1.58
Canarias	2010 Febrero	Dato	257939
Canarias	2010 Febrero	Variación anual	30233
Canarias	2010 Febrero	Variación interperiódica	4009
Canarias	2010 Enero	Tasa variación anual	17.57
Canarias	2010 Enero	Tasa variación interperiódica	2.07
Canarias	2010 Enero	Dato	253930
Canarias	2010 Enero	Variación anual	37954
Canarias	2010 Enero	Variación interperiódica	5147
Canarias	2009 Diciembre	Tasa variación anual	22.56
Canarias	2009 Diciembre	Tasa variación interperiódica	-0.00
Canarias	2009 Diciembre	Dato	248783
Canarias	2009 Diciembre	Variación anual	45790
Canarias	2009 Diciembre	Variación interperiódica	-3
Canarias	2009 Noviembre	Tasa variación anual	24.46
Canarias	2009 Noviembre	Tasa variación interperiódica	0.27
Canarias	2009 Noviembre	Dato	248786
Canarias	2009 Noviembre	Variación anual	48897
Canarias	2009 Noviembre	Variación interperiódica	678
Canarias	2009 Octubre	Tasa variación anual	30.26
Canarias	2009 Octubre	Tasa variación interperiódica	-0.30
Canarias	2009 Octubre	Dato	248108
Canarias	2009 Octubre	Variación anual	57639
Canarias	2009 Octubre	Variación interperiódica	-750
Canarias	2009 Septiembre	Tasa variación anual	37.64
Canarias	2009 Septiembre	Tasa variación interperiódica	1.18
Canarias	2009 Septiembre	Dato	248858
Canarias	2009 Septiembre	Variación anual	68053
Canarias	2009 Septiembre	Variación interperiódica	2892
Canarias	2009 Agosto	Tasa variación anual	39.48
